subject,hfair,sfair,sfast,srest,gender
1,4,1,1,1,F
2,4,2,4,2,F
3,2,2,2,2,F
4,4,2,2,1,F
5,2,3,1,3,F
6,1,2,2,2,F
7,1,3,2,2,F
8,4,2,4,4,F
9,1,2,3,2,F
10,2,2,2,2,F
11,4,2,2,2,F
12,1,2,2,1,F
13,1,2,2,1,F
14,4,2,2,2,F
15,2,2,2,2,M
16,2,2,2,2,M
17,1,1,1,1,M
18,2,2,2,2,M
19,2,2,2,1,M
20,2,2,4,3,M
21,2,2,2,2,M
22,4,1,1,1,M
23,3,2,2,1,M
24,2,2,1,1,M
25,4,2,3,2,M
26,1,3,3,2,F
27,4,2,3,2,M
28,1,2,2,1,M
29,2,2,2,2,M
30,4,1,1,1,M
31,2,2,1,1,M
32,2,1,3,2,M
33,1,2,3,2,F
34,2,4,4,3,F
35,2,2,2,1,F
36,4,2,2,2,F
37,3,1,1,1,F
38,4,2,2,1,F
39,1,2,2,1,F
40,1,3,3,1,F
41,1,2,2,1,F
42,1,2,2,2,F
43,2,2,1,1,F
44,2,2,2,2,F
45,4,1,2,1,F
46,3,1,2,1,F
47,1,2,2,2,F
48,3,2,4,1,F
49,3,1,1,1,F
50,2,2,4,1,F
51,3,1,1,1,M
52,1,1,1,1,M
53,4,2,2,2,F
54,2,2,2,2,F
55,2,4,2,2,F
56,4,2,2,2,F
57,2,3,2,2,F
58,3,2,1,1,M
59,2,2,2,2,F
60,2,3,2,2,F
61,3,2,3,2,F
62,4,3,2,3,M
63,1,2,4,3,F
64,2,4,3,3,F
65,2,2,2,2,F
66,1,2,2,2,F
67,2,4,2,1,F
68,2,1,2,1,M
69,3,2,2,2,M
70,3,3,4,2,M
71,3,1,1,1,M
72,3,2,2,1,M
73,2,1,1,1,M
74,3,3,2,2,M
75,4,1,2,1,M
76,1,4,2,2,M
77,1,1,1,1,M
78,2,2,2,2,F
79,2,2,2,2,F
80,4,2,3,1,F
81,1,3,3,3,F
82,4,2,3,3,F
83,3,2,2,2,F
84,2,2,2,2,F
85,3,2,2,1,M
86,2,2,2,1,F
87,2,3,3,2,F
88,1,2,2,2,M
89,1,3,3,2,F
90,3,2,2,2,F
91,1,2,2,2,F
92,1,3,1,1,F
93,3,2,2,2,F
94,3,1,2,1,F
95,1,1,3,2,F
96,2,2,3,2,F
97,2,3,4,1,F
98,1,2,2,2,F
99,4,2,2,1,F
100,1,3,3,2,F
101,2,4,4,3,F
102,3,1,2,2,F
103,1,2,2,1,F
104,3,3,1,5,M
105,3,1,2,1,M
106,3,2,2,1,M
107,2,2,2,1,M
108,1,2,2,2,M
109,1,5,2,1,M
110,1,4,2,2,M
111,2,2,2,1,M
112,1,4,2,1,M
113,1,2,1,1,M
114,4,3,5,5,M
115,2,2,2,2,M
116,2,3,3,1,M
117,2,3,3,2,M
118,3,2,3,2,M
119,2,2,2,1,M
120,2,2,3,2,M
121,2,3,3,2,F
122,1,3,2,2,F
123,1,3,2,2,M
124,1,3,3,3,F
125,1,2,2,2,F
126,2,2,2,2,F
127,1,3,4,1,F
128,2,2,2,2,F
129,1,2,3,2,F
130,3,2,1,1,F
131,1,2,2,2,F
132,1,2,2,1,M
133,1,2,2,1,M
134,3,2,2,2,M
135,1,2,3,1,M
136,4,1,2,1,M
137,1,1,4,2,M
138,1,3,2,2,F
139,4,3,3,2,F
140,1,1,1,1,M
141,1,1,2,2,M
142,2,3,3,2,F
143,1,2,2,2,F
144,1,2,2,1,F
145,4,3,2,2,F
146,1,3,2,2,F
147,2,4,3,2,F
148,3,1,2,1,F
149,4,2,2,1,F
150,4,1,1,1,M
151,3,3,2,2,M
152,2,3,3,1,M
153,1,2,2,1,M
154,3,1,1,1,M
155,2,2,2,2,F
156,4,5,2,2,F
157,1,2,2,2,F
158,3,3,3,2,F
159,1,4,3,2,F
160,2,2,2,2,F
161,1,2,2,2,F
162,2,2,2,2,F
163,1,4,2,1,F
164,1,2,3,2,F
165,2,2,2,2,F
166,2,2,3,3,M
167,2,3,1,1,M
168,1,2,3,1,F
169,1,3,3,2,F
170,4,3,3,3,F
171,2,1,1,1,F
172,1,3,2,2,M
173,1,2,1,1,M
174,1,1,1,1,M
175,1,4,3,2,F
176,2,4,2,2,F
177,1,3,3,3,F
178,2,2,2,2,F
179,1,4,4,2,F
180,4,2,2,1,M
181,1,2,2,2,F
182,3,2,2,2,F
183,1,4,4,2,F
184,1,3,2,1,F
185,3,2,2,2,F
186,1,4,4,1,F
187,1,4,2,2,F
188,4,2,4,2,F
189,3,3,2,2,F
190,2,3,3,2,F
191,2,2,2,2,M
192,2,2,1,1,M
193,2,3,3,3,M
194,1,2,2,2,M
195,2,2,3,2,M
196,2,2,2,2,M
197,1,3,2,2,F
198,1,4,2,2,M
199,2,4,3,2,F
200,3,2,2,2,M
201,1,4,2,1,F
202,3,2,4,4,F
203,2,2,2,2,F
204,2,3,3,3,F
205,2,3,2,2,F
206,2,3,3,2,M
207,2,2,2,2,F
208,1,1,2,1,F
209,2,2,3,2,F
210,2,2,2,2,F
211,3,2,2,2,F
212,2,3,4,2,F
213,1,4,4,2,M
214,2,2,2,2,M
215,2,2,2,2,F
216,2,3,3,3,F
217,1,3,2,2,M
218,2,2,1,1,F
219,3,3,3,2,F
220,4,3,2,2,F
221,2,2,2,1,M
222,2,3,3,2,F
223,3,2,2,2,F
224,1,2,3,2,F
225,1,3,3,3,F
226,4,1,1,1,F
227,3,2,2,1,F
228,2,2,2,1,F
229,4,1,1,1,M
230,4,2,2,2,F
231,2,4,2,2,F
232,1,4,2,2,F
233,3,2,2,2,M
234,3,2,3,2,F
235,4,2,2,2,F
236,1,3,2,2,F
237,2,2,4,2,F
238,1,3,3,3,M
239,3,2,1,1,M
240,1,3,3,2,F
241,1,2,2,2,F
242,2,4,4,4,F
243,2,2,2,2,F
244,2,3,2,3,F
245,1,2,1,1,F
246,1,2,2,2,F
247,2,2,2,2,F
248,2,4,2,5,F
249,2,2,2,2,F
250,2,3,2,2,F
251,2,2,2,2,F
252,2,2,3,1,F
253,2,4,4,4,F
254,1,2,2,2,F
255,4,2,2,2,F
256,1,2,2,1,F
257,2,2,1,1,F
258,4,3,1,1,F
259,1,3,2,2,F
260,2,4,2,2,F
261,1,1,3,2,F
262,5,1,1,1,M
263,1,2,2,1,M
264,2,3,2,1,M
265,1,2,3,2,M
266,1,3,3,3,M
267,2,2,2,2,M
268,3,2,2,1,M
269,2,2,1,1,M
270,3,2,2,2,F
271,3,2,2,2,F
272,2,2,2,1,F
273,2,2,2,1,F
274,1,2,2,1,M
275,1,2,2,1,M
276,4,3,2,3,M
277,2,2,2,1,M
278,2,3,3,3,F
279,1,3,2,2,F
280,4,2,2,2,M
281,1,2,2,2,F
282,1,2,3,2,M
283,3,2,2,2,F
284,2,2,3,2,F
285,3,2,3,2,M
286,2,3,3,2,M
287,2,2,2,2,F
288,2,2,3,3,M
289,1,5,4,3,F
290,1,3,2,2,F
291,2,2,3,2,F
292,2,2,2,2,F
293,1,2,3,4,F
294,2,3,2,2,M
295,2,2,2,3,F
296,2,2,2,3,F
297,2,3,2,2,M
298,2,3,4,2,F
299,2,3,3,3,F
300,1,3,2,2,F
301,1,4,3,1,F
302,1,3,2,2,F
303,3,1,2,2,M
